>> Summary of successfully produced models:
Filename                          molpdf
----------------------------------------
GABAAR.B99990001.pdb          9292.90723
GABAAR.B99990002.pdb          9199.45215
GABAAR.B99990003.pdb          9591.91309
GABAAR.B99990004.pdb          8935.08691
GABAAR.B99990005.pdb          9037.59375
GABAAR.B99990006.pdb          9289.13281
GABAAR.B99990007.pdb          9932.09473
GABAAR.B99990008.pdb          9025.86816
GABAAR.B99990009.pdb          9387.70312
GABAAR.B99990010.pdb          9152.37012
GABAAR.B99990011.pdb          9390.64258
GABAAR.B99990012.pdb          8999.64258
GABAAR.B99990013.pdb          9132.49023
GABAAR.B99990014.pdb          8985.22363
GABAAR.B99990015.pdb          9173.20996
GABAAR.B99990016.pdb          8862.54395
GABAAR.B99990017.pdb          9111.94043
GABAAR.B99990018.pdb          9220.26074
GABAAR.B99990019.pdb          9018.68262
GABAAR.B99990020.pdb          9350.75195
GABAAR.B99990021.pdb          9018.30371
GABAAR.B99990022.pdb          9511.78809
GABAAR.B99990023.pdb          8977.46973
GABAAR.B99990024.pdb          9092.85059
GABAAR.B99990025.pdb          9184.44531
GABAAR.B99990026.pdb          9462.90137
GABAAR.B99990027.pdb          9187.18945
GABAAR.B99990028.pdb          9110.10742
GABAAR.B99990029.pdb          9302.85449
GABAAR.B99990030.pdb          9283.52246
GABAAR.B99990031.pdb          8961.75098
GABAAR.B99990032.pdb          9480.00781
GABAAR.B99990033.pdb          9237.91406
GABAAR.B99990034.pdb          8966.79883
GABAAR.B99990035.pdb          9362.93652
GABAAR.B99990036.pdb          9197.10156
GABAAR.B99990037.pdb          9649.40430
GABAAR.B99990038.pdb          9635.15430
GABAAR.B99990039.pdb          8959.51465
GABAAR.B99990040.pdb          9097.10449
GABAAR.B99990041.pdb          8767.70996
GABAAR.B99990042.pdb          9106.74707
GABAAR.B99990043.pdb          8964.27246
GABAAR.B99990044.pdb          9093.83496
GABAAR.B99990045.pdb          8946.09180
GABAAR.B99990046.pdb          9241.26465
GABAAR.B99990047.pdb          9573.59473
GABAAR.B99990048.pdb          8889.10840
GABAAR.B99990049.pdb          9044.46973
GABAAR.B99990050.pdb          9005.68750
GABAAR.B99990051.pdb          8843.75195
GABAAR.B99990052.pdb          8924.08887
GABAAR.B99990053.pdb          9274.62500
GABAAR.B99990054.pdb          8870.43848
GABAAR.B99990055.pdb          9156.53613
GABAAR.B99990056.pdb          8976.68652
GABAAR.B99990057.pdb          8999.91406
GABAAR.B99990058.pdb          9012.45410
GABAAR.B99990059.pdb          9900.15137
GABAAR.B99990060.pdb          9399.97168
GABAAR.B99990061.pdb          9168.82910
GABAAR.B99990062.pdb          9148.82227
GABAAR.B99990063.pdb          9206.67383
GABAAR.B99990064.pdb          8787.95312
GABAAR.B99990065.pdb          9299.11719
GABAAR.B99990066.pdb          8986.18652
GABAAR.B99990067.pdb          8944.59277
GABAAR.B99990068.pdb          9494.02051
GABAAR.B99990069.pdb          8889.57520
GABAAR.B99990070.pdb          9541.43848
GABAAR.B99990071.pdb          9376.74023
GABAAR.B99990072.pdb          9207.09570
GABAAR.B99990073.pdb          8790.60547
GABAAR.B99990074.pdb          9416.56445
GABAAR.B99990075.pdb          9599.41211
GABAAR.B99990076.pdb          9219.65332
GABAAR.B99990077.pdb          8980.56641
GABAAR.B99990078.pdb          8885.15918
GABAAR.B99990079.pdb          9311.76074
GABAAR.B99990080.pdb          8977.08301
GABAAR.B99990081.pdb          9014.98730
GABAAR.B99990082.pdb          9232.63379
GABAAR.B99990083.pdb          9116.36816
GABAAR.B99990084.pdb          9180.91602
GABAAR.B99990085.pdb          9150.45703
GABAAR.B99990086.pdb          8983.86035
GABAAR.B99990087.pdb          8933.37109
GABAAR.B99990088.pdb          9054.25684
GABAAR.B99990089.pdb          9175.42578
GABAAR.B99990090.pdb          9255.11230
GABAAR.B99990091.pdb          9052.26855
GABAAR.B99990092.pdb          9262.19922
GABAAR.B99990093.pdb          8859.99512
GABAAR.B99990094.pdb          8914.30566
GABAAR.B99990095.pdb          8929.27441
GABAAR.B99990096.pdb          8894.01172
GABAAR.B99990097.pdb          8620.12402
GABAAR.B99990098.pdb          8805.45020
GABAAR.B99990099.pdb          9111.47852
GABAAR.B99990100.pdb          9056.34863

